Title,Body,Labels
Create `release/x.y.z` branch,"**Section:** Versioning & Branching

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
",release-train
"Bump app version codes (iOS CFBundleShortVersionString/Build, Android versionName/versionCode)","**Section:** Versioning & Branching

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
",release-train
Update CHANGELOG.md,"**Section:** Versioning & Branching

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
",release-train
Tag `vX.Y.Z` after store approvals,"**Section:** Versioning & Branching

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
",release-train
Update Privacy Policy URL (hosted & reachable),"**Section:** Compliance & Privacy

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
","release-train,compliance"
"Review data collection map (SDKs, analytics, ads)","**Section:** Compliance & Privacy

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
","release-train,analytics"
iOS: App Privacy labels updated,"**Section:** Compliance & Privacy

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
","release-train,compliance"
iOS: ATT prompt logic validated (if IDFA),"**Section:** Compliance & Privacy

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
","release-train,compliance"
Android: Data Safety form updated (AdMob + other SDKs),"**Section:** Compliance & Privacy

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
","release-train,compliance,monetization"
Validate AdMob unit IDs (test vs prod),"**Section:** Monetization & Remote Flags

Checklist item from `platform/checklists/release_train.md`.

**Acceptance Criteria**
- [ ] Complete the described task
- [ ] Update the master checklist
- [ ] Link related PR(s)
","release-train,monetization"
