title,labels,body
Create `release/x.y.z` branch,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Create `release/x.y.z` branch

Definition of Done:
- [ ] Completed and validated
"
"Bump app version codes (iOS CFBundleShortVersionString/Build, Android versionName/versionCode)",task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Bump app version codes (iOS CFBundleShortVersionString/Build, Android versionName/versionCode)

Definition of Done:
- [ ] Completed and validated
"
Update CHANGELOG.md,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Update CHANGELOG.md

Definition of Done:
- [ ] Completed and validated
"
Tag `vX.Y.Z` after store approvals,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Tag `vX.Y.Z` after store approvals

Definition of Done:
- [ ] Completed and validated
"
Update Privacy Policy URL (hosted & reachable),release-train,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Update Privacy Policy URL (hosted & reachable)

Definition of Done:
- [ ] Completed and validated
"
"Review data collection map (SDKs, analytics, ads)",task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Review data collection map (SDKs, analytics, ads)

Definition of Done:
- [ ] Completed and validated
"
iOS: App Privacy labels updated,release-train,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] iOS: App Privacy labels updated

Definition of Done:
- [ ] Completed and validated
"
iOS: ATT prompt logic validated (if IDFA),task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] iOS: ATT prompt logic validated (if IDFA)

Definition of Done:
- [ ] Completed and validated
"
Android: Data Safety form updated (AdMob + other SDKs),release-train,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Android: Data Safety form updated (AdMob + other SDKs)

Definition of Done:
- [ ] Completed and validated
"
Validate AdMob unit IDs (test vs prod),task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Validate AdMob unit IDs (test vs prod)

Definition of Done:
- [ ] Completed and validated
"
Rewarded/interstitial placement flags in Remote Config,task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Rewarded/interstitial placement flags in Remote Config

Definition of Done:
- [ ] Completed and validated
"
Frequency caps verified (cooldowns respected),task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Frequency caps verified (cooldowns respected)

Definition of Done:
- [ ] Completed and validated
"
IAP products (if any) present and in correct state (Cleared for sale/Active),task,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] IAP products (if any) present and in correct state (Cleared for sale/Active)

Definition of Done:
- [ ] Completed and validated
"
"Icon sets generated (iOS 1024x1024, Android 512x512)",assets,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Icon sets generated (iOS 1024x1024, Android 512x512)

Definition of Done:
- [ ] Completed and validated
"
Feature graphic (Android 1024x500),assets,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Feature graphic (Android 1024x500)

Definition of Done:
- [ ] Completed and validated
"
"Screenshots (phones & tablets: iOS 6.7/5.5/iPad; Android phone/7""/10"")",assets,"Auto-generated from release_train.md checklist.

Acceptance Criteria:
- [ ] Screenshots (phones & tablets: iOS 6.7/5.5/iPad; Android phone/7""/10"")

Definition of Done:
- [ ] Completed and validated
"
